source,destination_repository_module,target_public_symbol,disposition,preserved_behavior,replacement_deletion_rationale,behavioral_test_id,source_commit
graphics/LuminRenderPipelines.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.pipeline.LuminRenderPipelines,port,Defines reusable render pipeline layouts and blend/depth state,Pipeline ownership belongs with renderer assembly after Prism adoption,MIG-RENDER-PIPELINES,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/LuminRenderSystem.java,LuminGraphics/lumin-graphics-core,com.github.slmpc.lumingraphics.core.RenderContext,protocol-replace,Provides frame state targets transforms projection and shared GPU services,Replace static Minecraft globals and holder singletons with an injected core protocol,MIG-INJECTED-RENDER-CONTEXT,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/LuminTexture.java,LuminGraphics/lumin-graphics-core,com.github.slmpc.lumingraphics.core.texture.LuminTexture,protocol-replace,Owns or borrows a texture view and sampler for render consumers,Replace Minecraft texture lookup globals with an injected texture resolver protocol,MIG-INJECTED-TEXTURE-RESOLVER,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/LuminVertexFormats.java,LuminGraphics/lumin-graphics-core,com.github.slmpc.lumingraphics.core.vertex.LuminVertexFormats,port,Defines stable vertex attribute layouts used by Lumin draw paths,Vertex contracts are backend-neutral core data,MIG-CORE-VERTEX-FORMATS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/buffer/BufferUtils.java,LuminGraphics/lumin-graphics-core,com.github.slmpc.lumingraphics.core.buffer.BufferWriter,port,Writes packed position UV and color vertex data,Low-level byte layout belongs in core geometry support,MIG-CORE-BUFFER-WRITES,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/buffer/LuminRingBuffer.java,LuminGraphics/lumin-graphics-core,com.github.slmpc.lumingraphics.core.buffer.LuminRingBuffer,protocol-replace,Rotates mapped GPU buffers and expands capacity without losing frame data,Replace static frame lookup with injected frame lifecycle state,MIG-CORE-RING-BUFFER,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/immediate/LuminImmediateRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.immediate.LuminImmediateRenderer,port,Submits immediate indexed and nonindexed draw batches,Immediate submission is a render-layer consumer of core protocols,MIG-RENDER-IMMEDIATE,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/immediate/LuminTessellator.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.immediate.LuminTessellator,port,Accumulates immediate vertices with deterministic primitive topology,Tessellation is renderer assembly rather than backend ownership,MIG-RENDER-TESSELLATOR,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/IRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.Renderer,port,Defines clear draw and close lifecycle for queued renderers,Rename interface to project namespace while preserving lifecycle contract,MIG-RENDER-LIFECYCLE,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/RectRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.RectRenderer,port,"Preserves batched rectangle vertices, scissor state, and draw order",Rectangle batching is a standalone render service,MIG-RECT-BATCHING,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/RoundRectOutlineRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.RoundRectOutlineRenderer,port,Draws rounded outlines with per-corner radii and thickness,Shape rendering remains in the render module,MIG-ROUND-OUTLINE,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/RoundRectRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.RoundRectRenderer,port,Draws filled rounded rectangles with per-corner radii,Shape rendering remains in the render module,MIG-ROUND-RECT,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/ShadowRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.ShadowRenderer,port,Batches segmented soft shadows around rectangular bounds,Shadow geometry and draw submission remain renderer behavior,MIG-SHADOW-BATCHING,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/TextRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.GlyphBatchRenderer,protocol-replace,Batches textured glyph quads while retaining order and color,Rendering half becomes a glyph batch service consumed by the text module,MIG-GLYPH-BATCHING,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/TextureRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.TextureRenderer,protocol-replace,Batches textured and rounded quads with filtering and rotation,Replace Minecraft identifiers with core texture handles and injected resolution,MIG-TEXTURE-BATCHING,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/renderers/TriangleRenderer.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.renderer.TriangleRenderer,port,Batches colored triangles and progress chevrons,Triangle geometry and draw submission remain renderer behavior,MIG-TRIANGLE-BATCHING,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/schedulers/render2d/Render2DBounds.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render2DBounds,port,Represents immutable command bounds for clipping and ordering,Backend-neutral scheduler value remains in render,MIG-SCHEDULER-BOUNDS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/schedulers/render2d/Render2DCommand.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render2DCommand,port,Represents a typed queued 2D draw command,Command data remains a render scheduler contract,MIG-SCHEDULER-COMMAND,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/schedulers/render2d/Render2DCommandKind.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render2DCommandKind,port,Enumerates supported scheduler command variants,Command discrimination remains explicit in render,MIG-SCHEDULER-KINDS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/schedulers/render2d/Render2DScheduler.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render2DScheduler,protocol-replace,Orders clips batches and flushes heterogeneous 2D commands,Replace global renderer holders with injected renderer services,MIG-SCHEDULER-ORDER,181ece162e9f8618fe57281bb6ee29cc2c542579
